const_cd,const_nm,winner19,winner24,con24,green24,lab24,ld24,other24,pc24,ref24,snp24,con19,lab19,ld19,green19,snp19,pc19,brx19,other19
E14001357,Melton and Syston,Con,lab,29.7%,7.7%,38.5%,5.7%,0.8%,0.0%,17.6%,0.0%,63.3%,23.5%,7.7%,5.5%,0.0%,0.0%,0.0%,0.0%
E14001358,Meriden and Solihull East,Con,lab,27.1%,8.3%,29.4%,11.3%,0.0%,0.0%,23.9%,0.0%,62.4%,20.8%,13.6%,3.2%,0.0%,0.0%,0.0%,0.0%
E14001359,Mid Bedfordshire,Con,lab,33.5%,5.7%,35.0%,12.7%,1.4%,0.0%,11.6%,0.0%,60.5%,20.5%,12.5%,3.9%,0.0%,0.0%,0.0%,2.6%
E14001360,Mid Buckinghamshire,Con,con,33.8%,9.6%,26.1%,20.0%,0.8%,0.0%,9.8%,0.0%,61.5%,15.3%,19.7%,2.7%,0.0%,0.0%,0.9%,0.0%
E14001361,Mid Cheshire,Con,lab,18.9%,3.4%,48.3%,7.3%,0.7%,0.0%,21.4%,0.0%,46.9%,41.6%,8.4%,2.0%,0.0%,0.0%,1.1%,0.0%
E14001362,Mid Derbyshire,Con,lab,24.4%,5.7%,40.0%,5.9%,0.7%,0.0%,23.3%,0.0%,59.6%,27.0%,9.6%,3.9%,0.0%,0.0%,0.0%,0.0%
E14001363,Mid Dorset and North Poole,Con,con,38.9%,4.8%,19.7%,35.5%,1.0%,0.0%,0.0%,0.0%,60.0%,7.3%,29.9%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001364,Mid Leicestershire,Con,lab,33.7%,9.9%,34.4%,6.8%,0.0%,0.0%,15.2%,0.0%,62.2%,25.6%,8.0%,4.1%,0.0%,0.0%,0.0%,0.0%
E14001365,Mid Norfolk,Con,lab,31.1%,3.7%,34.3%,6.9%,0.0%,0.0%,24.0%,0.0%,64.4%,22.9%,10.4%,0.3%,0.0%,0.0%,0.0%,1.9%
E14001366,Mid Sussex,Con,con,31.7%,10.4%,27.2%,22.0%,0.8%,0.0%,7.9%,0.0%,51.3%,18.0%,25.5%,4.1%,0.0%,0.0%,0.0%,1.1%
E14001367,Middlesbrough and Thornaby East,Lab,lab,12.3%,5.3%,54.9%,4.7%,2.7%,0.0%,20.1%,0.0%,24.3%,54.0%,2.6%,1.5%,0.0%,0.0%,6.2%,11.4%
E14001368,Middlesbrough South and East Cleveland,Con,lab,34.4%,4.4%,55.8%,4.3%,1.1%,0.0%,0.0%,0.0%,57.9%,35.0%,4.0%,2.2%,0.0%,0.0%,0.3%,0.6%
E14001369,Milton Keynes Central,Con,lab,24.6%,6.6%,47.2%,8.8%,1.3%,0.0%,11.4%,0.0%,47.5%,38.1%,10.4%,2.5%,0.0%,0.0%,0.0%,1.4%
E14001370,Milton Keynes North,Con,lab,27.7%,6.2%,45.5%,8.3%,0.0%,0.0%,12.3%,0.0%,51.6%,38.5%,6.7%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001371,Mitcham and Morden,Lab,lab,13.2%,8.2%,54.3%,8.6%,2.3%,0.0%,13.4%,0.0%,26.7%,57.5%,10.8%,2.2%,0.0%,0.0%,2.3%,0.4%
E14001372,Morecambe and Lunesdale,Con,lab,25.8%,3.4%,41.8%,12.8%,0.0%,0.0%,16.3%,0.0%,53.6%,28.1%,15.6%,1.3%,0.0%,0.0%,0.4%,1.0%
E14001373,New Forest East,Con,con,33.2%,6.8%,26.1%,14.3%,0.8%,0.0%,18.8%,0.0%,64.5%,14.8%,14.6%,4.8%,0.0%,0.0%,0.0%,1.3%
E14001374,New Forest West,Con,con,38.3%,8.0%,28.0%,12.0%,0.7%,0.0%,13.0%,0.0%,63.8%,13.1%,15.3%,7.7%,0.0%,0.0%,0.0%,0.0%
E14001375,Newark,Con,ref,27.9%,7.8%,25.7%,7.5%,1.0%,0.0%,30.1%,0.0%,63.1%,23.9%,9.6%,3.1%,0.0%,0.0%,0.3%,0.0%
E14001376,Newbury,Con,ld,29.5%,5.6%,16.9%,38.1%,0.8%,0.0%,9.2%,0.0%,55.1%,7.7%,32.6%,4.0%,0.0%,0.0%,0.0%,0.6%
E14001377,Newcastle upon Tyne Central and West,Lab,lab,13.1%,7.8%,57.8%,3.2%,2.4%,0.0%,15.7%,0.0%,26.6%,59.3%,3.0%,3.0%,0.0%,0.0%,8.2%,0.0%
E14001378,Newcastle upon Tyne East and Wallsend,Lab,lab,10.0%,6.6%,63.2%,4.3%,1.0%,0.0%,14.8%,0.0%,23.7%,59.3%,8.3%,3.8%,0.0%,0.0%,4.9%,0.0%
E14001379,Newcastle upon Tyne North,Lab,lab,14.5%,8.5%,52.1%,7.1%,1.0%,0.0%,16.9%,0.0%,31.8%,44.4%,14.0%,4.1%,0.0%,0.0%,5.8%,0.0%
E14001380,Newcastle-under-Lyme,Con,lab,24.8%,6.8%,47.2%,5.3%,0.0%,0.0%,15.9%,0.0%,52.8%,35.4%,5.6%,2.2%,0.0%,0.0%,4.1%,0.0%
E14001381,Newton Abbot,Con,con,30.3%,5.7%,30.1%,20.2%,2.0%,0.0%,11.8%,0.0%,55.6%,17.7%,22.2%,2.9%,0.0%,0.0%,0.0%,1.6%
E14001382,Newton Aycliffe and Spennymoor,Con,lab,15.9%,3.5%,48.1%,3.4%,0.8%,0.0%,28.2%,0.0%,46.1%,38.3%,5.4%,1.5%,0.0%,0.0%,7.8%,0.9%
E14001383,Normanton and Hemsworth,Lab,lab,15.6%,5.0%,52.5%,5.1%,0.0%,0.0%,21.9%,0.0%,31.4%,39.6%,4.2%,1.8%,0.0%,0.0%,15.2%,7.8%
E14001384,North Bedfordshire,Con,con,35.2%,8.8%,31.2%,12.2%,0.0%,0.0%,12.7%,0.0%,61.1%,19.1%,13.2%,2.8%,0.0%,0.0%,0.2%,3.6%
E14001385,North Cornwall,Con,ld,27.0%,4.2%,18.7%,28.3%,0.9%,0.0%,20.9%,0.0%,59.1%,9.6%,29.9%,0.2%,0.0%,0.0%,0.0%,1.3%
E14001386,North Cotswolds,Con,con,33.8%,8.8%,25.8%,20.1%,1.7%,0.0%,9.8%,0.0%,59.3%,16.5%,18.0%,5.8%,0.0%,0.0%,0.3%,0.0%
E14001387,North Devon,Con,con,33.7%,5.0%,24.6%,26.5%,1.2%,0.0%,9.0%,0.0%,56.6%,9.2%,30.0%,3.2%,0.0%,0.0%,0.0%,1.0%
E14001388,North Dorset,Con,con,36.2%,6.6%,26.3%,16.3%,0.7%,0.0%,13.9%,0.0%,63.8%,11.9%,20.4%,3.9%,0.0%,0.0%,0.0%,0.0%
E14001389,North Durham,Lab,lab,15.8%,7.9%,43.6%,6.9%,1.1%,0.0%,24.7%,0.0%,34.4%,43.7%,6.4%,2.6%,0.0%,0.0%,10.7%,2.2%
E14001390,North East Cambridgeshire,Con,con,37.7%,6.7%,28.3%,5.9%,1.6%,0.0%,19.7%,0.0%,73.9%,16.0%,6.7%,3.4%,0.0%,0.0%,0.0%,0.0%
E14001391,North East Derbyshire,Con,lab,24.3%,6.6%,33.3%,7.3%,0.8%,0.0%,27.7%,0.0%,58.4%,32.3%,6.1%,2.7%,0.0%,0.0%,0.5%,0.0%
E14001392,North East Hampshire,Con,con,40.3%,5.6%,19.5%,17.6%,1.3%,0.0%,15.6%,0.0%,61.9%,10.2%,22.4%,3.0%,0.0%,0.0%,0.0%,2.5%
E14001393,North East Hertfordshire,Con,lab,29.6%,7.8%,39.3%,10.8%,0.0%,0.0%,12.6%,0.0%,56.6%,23.7%,15.5%,4.3%,0.0%,0.0%,0.0%,0.0%
E14001394,North East Somerset and Hanham,Con,lab,28.2%,4.7%,42.1%,10.7%,2.8%,0.0%,11.6%,0.0%,54.7%,26.2%,15.0%,2.4%,0.0%,0.0%,0.0%,1.7%
E14001395,North Herefordshire,Con,green,28.1%,32.2%,18.9%,6.2%,0.6%,0.0%,14.0%,0.0%,62.5%,15.2%,13.5%,8.8%,0.0%,0.0%,0.0%,0.0%
E14001396,North Norfolk,Con,con,35.9%,3.4%,18.6%,28.3%,0.0%,0.0%,13.9%,0.0%,58.5%,7.7%,30.4%,0.1%,0.0%,0.0%,3.4%,0.0%
E14001397,North Northumberland,Con,lab,22.5%,4.3%,38.3%,7.8%,3.7%,0.0%,23.4%,0.0%,55.9%,23.1%,16.1%,3.4%,0.0%,0.0%,1.5%,0.0%
E14001398,North Shropshire,Con,ld,19.2%,4.3%,17.3%,43.4%,0.9%,0.0%,14.9%,0.0%,61.7%,22.4%,10.4%,3.3%,0.0%,0.0%,0.0%,2.2%
E14001399,North Somerset,Con,lab,23.4%,5.5%,37.4%,12.2%,0.9%,0.0%,20.7%,0.0%,53.5%,25.0%,16.6%,4.9%,0.0%,0.0%,0.0%,0.0%
E14001400,North Warwickshire and Bedworth,Con,lab,34.4%,6.7%,42.1%,4.0%,0.0%,0.0%,12.7%,0.0%,65.9%,26.8%,4.5%,2.8%,0.0%,0.0%,0.0%,0.0%
E14001401,North West Cambridgeshire,Con,lab,29.6%,7.4%,38.4%,8.7%,0.0%,0.0%,15.9%,0.0%,60.0%,23.7%,11.0%,5.2%,0.0%,0.0%,0.1%,0.0%
E14001402,North West Essex,Con,con,38.0%,6.6%,25.1%,16.5%,0.7%,0.0%,13.0%,0.0%,61.7%,13.8%,19.7%,4.8%,0.0%,0.0%,0.0%,0.0%
E14001403,North West Hampshire,Con,lab,31.0%,6.3%,31.4%,12.8%,0.8%,0.0%,17.8%,0.0%,60.1%,16.9%,18.5%,4.6%,0.0%,0.0%,0.0%,0.0%
E14001404,North West Leicestershire,Con,lab,24.6%,5.4%,43.9%,3.5%,0.8%,0.0%,21.9%,0.0%,62.1%,25.4%,6.8%,4.7%,0.0%,0.0%,0.0%,1.0%
E14001405,North West Norfolk,Con,con,37.5%,5.4%,34.7%,8.6%,0.0%,0.0%,13.7%,0.0%,66.0%,22.6%,7.8%,3.5%,0.0%,0.0%,0.0%,0.0%
E14001406,Northampton North,Con,lab,19.5%,6.2%,46.1%,5.1%,3.7%,0.0%,19.4%,0.0%,49.8%,42.1%,5.7%,2.5%,0.0%,0.0%,0.0%,0.0%
E14001407,Northampton South,Con,lab,25.5%,11.1%,40.9%,4.8%,1.1%,0.0%,16.6%,0.0%,57.8%,30.9%,7.9%,3.4%,0.0%,0.0%,0.0%,0.0%
E14001408,Norwich North,Con,lab,25.7%,5.7%,48.9%,4.7%,0.9%,0.0%,14.2%,0.0%,51.6%,38.9%,6.2%,2.3%,0.0%,0.0%,0.0%,1.0%
E14001409,Norwich South,Lab,lab,16.3%,8.7%,57.2%,7.9%,1.0%,0.0%,8.9%,0.0%,29.0%,53.5%,9.5%,4.8%,0.0%,0.0%,3.2%,0.0%
E14001410,Nottingham East,Lab,lab,11.5%,9.8%,57.8%,6.7%,3.9%,0.0%,10.3%,0.0%,20.8%,63.1%,6.3%,3.1%,0.0%,0.0%,3.4%,3.2%
E14001411,Nottingham North and Kimberley,Lab,lab,18.5%,5.0%,57.8%,3.8%,0.0%,0.0%,14.9%,0.0%,40.2%,46.0%,3.8%,2.5%,0.0%,0.0%,5.6%,1.9%
E14001412,Nottingham South,Lab,lab,13.4%,13.9%,51.8%,4.2%,3.8%,0.0%,13.0%,0.0%,31.6%,53.8%,6.7%,3.3%,0.0%,0.0%,4.6%,0.0%
E14001413,Nuneaton,Con,lab,25.2%,10.1%,44.9%,3.2%,0.8%,0.0%,15.9%,0.0%,60.6%,31.5%,4.1%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001414,Old Bexley and Sidcup,Con,lab,31.9%,6.3%,42.0%,7.1%,1.2%,0.0%,11.5%,0.0%,63.9%,23.9%,8.3%,3.5%,0.0%,0.0%,0.0%,0.4%
E14001415,Oldham East and Saddleworth,Lab,lab,17.1%,3.6%,48.3%,5.2%,4.4%,0.0%,21.3%,0.0%,40.3%,43.5%,5.2%,1.7%,0.0%,0.0%,6.5%,2.8%
E14001416,"Oldham West, Chadderton and Royton",Lab,lab,13.7%,2.8%,65.5%,3.1%,3.2%,0.0%,11.6%,0.0%,30.3%,55.3%,3.3%,1.5%,0.0%,0.0%,7.5%,2.1%
E14001417,Orpington,Con,lab,29.1%,7.7%,30.8%,10.6%,2.1%,0.0%,19.6%,0.0%,61.9%,19.8%,14.6%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001418,Ossett and Denby Dale,Con,lab,27.1%,4.5%,44.3%,4.4%,2.0%,0.0%,17.7%,0.0%,53.9%,31.2%,4.9%,1.2%,0.0%,0.0%,5.1%,3.7%
E14001419,Oxford East,Lab,lab,13.4%,9.2%,63.4%,12.8%,1.2%,0.0%,0.0%,0.0%,21.4%,56.4%,14.0%,4.7%,0.0%,0.0%,2.3%,1.1%
E14001420,Oxford West and Abingdon,LD,ld,17.4%,4.2%,22.5%,45.5%,0.7%,0.0%,9.7%,0.0%,34.1%,11.8%,52.2%,0.5%,0.0%,0.0%,1.5%,0.0%
E14001421,Peckham,Lab,lab,8.6%,10.6%,70.1%,5.3%,1.8%,0.0%,3.7%,0.0%,11.2%,70.8%,10.4%,5.0%,0.0%,0.0%,2.3%,0.3%
E14001422,Pendle and Clitheroe,Con,lab,27.4%,6.0%,42.3%,6.0%,3.2%,0.0%,15.1%,0.0%,56.9%,33.1%,7.3%,2.1%,0.0%,0.0%,0.0%,0.6%
E14001423,Penistone and Stocksbridge,Con,lab,21.0%,3.3%,49.0%,5.2%,0.0%,0.0%,21.5%,0.0%,47.8%,33.3%,10.2%,0.0%,0.0%,0.0%,8.7%,0.0%
E14001424,Penrith and Solway,Con,lab,25.7%,3.8%,45.0%,8.6%,1.1%,0.0%,15.9%,0.0%,54.8%,30.1%,8.2%,3.1%,0.0%,0.0%,1.8%,2.0%
E14001425,Peterborough,Con,lab,23.7%,8.2%,42.0%,4.0%,9.7%,0.0%,12.4%,0.0%,46.5%,41.5%,4.9%,1.5%,0.0%,0.0%,4.5%,1.1%
E14001426,Plymouth Moor View,Con,lab,24.2%,4.8%,45.6%,3.8%,0.0%,0.0%,21.6%,0.0%,59.8%,32.3%,5.0%,2.6%,0.0%,0.0%,0.2%,0.0%
E14001427,Plymouth Sutton and Devonport,Lab,lab,17.1%,5.6%,57.0%,5.0%,1.0%,0.0%,14.3%,0.0%,38.0%,48.4%,4.9%,3.0%,0.0%,0.0%,5.7%,0.0%
E14001428,"Pontefract, Castleford and Knottingley",Lab,lab,16.2%,3.5%,46.0%,4.9%,4.9%,0.0%,24.5%,0.0%,35.6%,38.2%,6.8%,0.0%,0.0%,0.0%,15.8%,3.7%
E14001429,Poole,Con,lab,27.6%,10.0%,30.5%,13.4%,1.4%,0.0%,17.2%,0.0%,58.8%,20.7%,15.3%,3.4%,0.0%,0.0%,0.0%,1.7%
E14001430,Poplar and Limehouse,Lab,lab,11.8%,7.2%,54.9%,14.8%,5.5%,0.0%,5.8%,0.0%,17.7%,60.3%,15.5%,3.4%,0.0%,0.0%,2.4%,0.7%
E14001431,Portsmouth North,Con,lab,29.6%,5.6%,42.2%,5.8%,0.0%,0.0%,16.9%,0.0%,61.4%,27.0%,7.4%,2.8%,0.0%,0.0%,0.0%,1.4%
E14001432,Portsmouth South,Lab,lab,18.3%,4.2%,55.5%,8.2%,1.2%,0.0%,12.6%,0.0%,37.3%,48.6%,11.4%,0.0%,0.0%,0.0%,2.1%,0.5%
E14001433,Preston,Lab,lab,14.8%,4.3%,58.0%,5.6%,4.4%,0.0%,12.8%,0.0%,29.8%,57.3%,6.8%,2.0%,0.0%,0.0%,4.2%,0.0%
E14001434,Putney,Lab,lab,16.7%,4.1%,60.5%,11.4%,1.7%,0.0%,5.6%,0.0%,36.4%,44.3%,16.9%,2.3%,0.0%,0.0%,0.1%,0.0%
E14001435,Queen's Park and Maida Vale,Lab,lab,11.5%,6.9%,56.3%,17.5%,2.0%,0.0%,5.9%,0.0%,19.8%,61.9%,13.9%,3.2%,0.0%,0.0%,0.9%,0.3%
E14001436,Rawmarsh and Conisbrough,Lab,lab,14.5%,3.4%,48.0%,3.5%,1.8%,0.0%,28.8%,0.0%,37.0%,40.1%,3.7%,0.5%,0.0%,0.0%,16.1%,2.6%
E14001437,Rayleigh and Wickford,Con,con,33.6%,4.4%,32.8%,4.9%,0.0%,0.0%,24.2%,0.0%,72.9%,15.7%,7.7%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001438,Reading Central,Lab,lab,15.3%,4.5%,68.1%,4.1%,0.7%,0.0%,7.3%,0.0%,36.4%,52.6%,6.4%,3.1%,0.0%,0.0%,1.1%,0.4%
E14001439,Reading West and Mid Berkshire,Con,lab,25.4%,4.5%,35.6%,14.9%,0.9%,0.0%,18.8%,0.0%,56.8%,22.9%,16.9%,3.4%,0.0%,0.0%,0.0%,0.0%
E14001440,Redcar,Con,lab,21.4%,3.9%,45.2%,5.8%,4.1%,0.0%,19.7%,0.0%,47.5%,36.6%,4.8%,1.6%,0.0%,0.0%,6.5%,3.0%
E14001441,Redditch,Con,lab,30.8%,4.6%,39.6%,4.7%,3.2%,0.0%,17.0%,0.0%,64.7%,25.9%,6.4%,3.0%,0.0%,0.0%,0.0%,0.0%
E14001442,Reigate,Con,con,32.8%,10.3%,24.8%,17.8%,0.0%,0.0%,14.4%,0.0%,55.8%,16.9%,19.9%,5.8%,0.0%,0.0%,0.0%,1.6%
E14001443,Ribble Valley,Con,lab,29.9%,4.2%,40.2%,6.9%,2.3%,0.0%,16.6%,0.0%,59.8%,27.6%,8.0%,2.8%,0.0%,0.0%,0.0%,1.7%
E14001444,Richmond and Northallerton,Con,con,35.8%,5.8%,32.8%,11.4%,1.7%,0.0%,12.3%,0.0%,63.3%,16.4%,12.5%,3.8%,0.0%,0.0%,0.0%,3.9%
E14001445,Richmond Park,LD,ld,19.7%,2.0%,12.4%,54.4%,0.5%,0.0%,10.8%,0.0%,40.6%,5.3%,53.6%,0.0%,0.0%,0.0%,0.0%,0.5%
E14001446,Rochdale,Lab,lab,15.8%,5.6%,48.4%,9.1%,7.4%,0.0%,13.7%,0.0%,31.6%,50.8%,7.5%,1.9%,0.0%,0.0%,8.2%,0.0%
E14001447,Rochester and Strood,Con,lab,30.3%,7.6%,37.3%,7.2%,3.1%,0.0%,14.5%,0.0%,58.5%,28.1%,7.1%,2.6%,0.0%,0.0%,0.0%,3.7%
E14001448,Romford,Con,lab,32.1%,6.4%,33.8%,5.8%,1.3%,0.0%,20.6%,0.0%,64.8%,26.4%,5.8%,3.0%,0.0%,0.0%,0.0%,0.0%
E14001449,Romsey and Southampton North,Con,con,34.6%,6.0%,21.3%,26.4%,0.8%,0.0%,10.9%,0.0%,57.9%,12.1%,28.1%,0.7%,0.0%,0.0%,0.0%,1.2%
E14001450,Rossendale and Darwen,Con,lab,25.2%,3.6%,51.8%,3.8%,0.7%,0.0%,15.0%,0.0%,56.3%,36.6%,4.2%,2.5%,0.0%,0.0%,0.4%,0.0%
E14001451,Rother Valley,Con,lab,20.8%,4.5%,50.0%,3.4%,0.0%,0.0%,21.3%,0.0%,46.1%,32.6%,4.8%,2.5%,0.0%,0.0%,11.7%,2.3%
E14001452,Rotherham,Lab,lab,0.0%,5.4%,47.0%,15.6%,4.1%,0.0%,27.9%,0.0%,33.1%,40.7%,6.2%,0.1%,0.0%,0.0%,17.0%,2.9%
E14001453,Rugby,Con,lab,26.8%,4.1%,50.8%,5.1%,0.7%,0.0%,12.5%,0.0%,57.3%,31.1%,8.3%,3.3%,0.0%,0.0%,0.0%,0.0%
E14001454,"Ruislip, Northwood and Pinner",Con,lab,28.1%,5.8%,36.5%,12.6%,0.0%,0.0%,17.0%,0.0%,55.3%,25.1%,15.2%,2.6%,0.0%,0.0%,0.1%,1.7%
E14001455,Runcorn and Helsby,Lab,lab,17.0%,4.2%,57.1%,4.9%,1.7%,0.0%,15.2%,0.0%,36.8%,48.8%,6.7%,2.9%,0.0%,0.0%,4.8%,0.0%
E14001456,Runnymede and Weybridge,Con,con,29.9%,4.5%,28.3%,23.8%,1.4%,0.0%,12.0%,0.0%,53.2%,17.7%,22.7%,2.7%,0.0%,0.0%,0.0%,3.7%
E14001457,Rushcliffe,Con,lab,22.7%,3.7%,46.9%,8.9%,1.1%,0.0%,16.8%,0.0%,47.3%,35.0%,16.0%,0.0%,0.0%,0.0%,0.0%,1.7%
E14001458,Rutland and Stamford,Con,con,35.5%,4.9%,26.6%,14.2%,1.1%,0.0%,17.8%,0.0%,63.3%,14.7%,15.8%,3.6%,0.0%,0.0%,0.0%,2.6%
E14001459,Salford,Lab,lab,10.1%,4.1%,65.5%,4.1%,0.9%,0.0%,15.2%,0.0%,23.3%,57.4%,6.2%,4.3%,0.0%,0.0%,8.9%,0.0%
E14001460,Salisbury,Con,con,24.4%,6.2%,19.7%,22.0%,10.3%,0.0%,17.3%,0.0%,55.2%,18.7%,19.5%,5.1%,0.0%,0.0%,0.0%,1.4%
E14001461,Scarborough and Whitby,Con,lab,22.9%,3.2%,55.7%,3.5%,1.3%,0.0%,13.5%,0.0%,55.5%,34.8%,6.1%,0.0%,0.0%,0.0%,0.0%,3.6%
E14001462,Scunthorpe,Con,lab,23.0%,4.0%,45.1%,7.5%,0.9%,0.0%,19.6%,0.0%,56.3%,34.9%,2.6%,1.8%,0.0%,0.0%,4.3%,0.0%
E14001463,Sefton Central,Lab,lab,16.4%,3.2%,62.5%,4.8%,0.8%,0.0%,12.2%,0.0%,34.3%,52.6%,6.6%,2.1%,0.0%,0.0%,3.6%,0.7%
E14001464,Selby,Con,lab,24.6%,5.3%,45.0%,3.8%,0.0%,0.0%,21.3%,0.0%,58.0%,29.8%,6.0%,3.0%,0.0%,0.0%,0.0%,3.2%
E14001465,Sevenoaks,Con,con,35.7%,5.4%,19.5%,24.4%,0.9%,0.0%,14.1%,0.0%,61.7%,13.5%,19.4%,3.4%,0.0%,0.0%,0.0%,1.9%
E14001466,Sheffield Brightside and Hillsborough,Lab,lab,18.1%,11.4%,59.0%,8.9%,2.6%,0.0%,0.0%,0.0%,25.4%,56.6%,3.9%,3.0%,0.0%,0.0%,9.7%,1.4%
E14001467,Sheffield Central,Lab,lab,9.3%,16.1%,63.5%,6.9%,4.2%,0.0%,0.0%,0.0%,12.4%,67.0%,5.4%,10.9%,0.0%,0.0%,3.1%,1.2%
E14001468,Sheffield Hallam,Lab,ld,15.6%,5.5%,35.3%,40.5%,3.1%,0.0%,0.0%,0.0%,25.7%,35.0%,33.1%,3.0%,0.0%,0.0%,2.7%,0.5%
E14001469,Sheffield Heeley,Lab,lab,16.7%,6.4%,70.6%,5.6%,0.6%,0.0%,0.0%,0.0%,27.1%,53.9%,6.7%,4.3%,0.0%,0.0%,8.0%,0.0%
E14001470,Sheffield South East,Lab,lab,22.3%,8.1%,51.8%,6.8%,11.0%,0.0%,0.0%,0.0%,35.6%,46.7%,4.7%,0.2%,0.0%,0.0%,10.7%,2.1%
E14001471,Sherwood Forest,Con,lab,25.5%,4.4%,40.6%,6.2%,0.7%,0.0%,22.5%,0.0%,60.8%,29.5%,5.7%,2.6%,0.0%,0.0%,0.0%,1.3%
E14001472,Shipley,Con,lab,22.7%,7.4%,45.7%,5.2%,2.8%,0.0%,16.3%,0.0%,50.8%,39.2%,5.9%,2.4%,0.0%,0.0%,0.0%,1.6%
E14001473,Shrewsbury,Con,lab,24.9%,7.2%,43.7%,7.9%,1.7%,0.0%,14.5%,0.0%,49.4%,35.5%,10.8%,3.2%,0.0%,0.0%,0.0%,1.1%
E14001474,Sittingbourne and Sheppey,Con,lab,26.5%,4.5%,32.8%,5.1%,3.0%,0.0%,28.3%,0.0%,66.5%,20.9%,6.3%,2.2%,0.0%,0.0%,0.0%,4.0%
E14001475,Skipton and Ripon,Con,lab,26.8%,5.2%,42.8%,10.5%,1.1%,0.0%,13.6%,0.0%,58.9%,19.2%,15.2%,4.7%,0.0%,0.0%,0.0%,2.0%
E14001476,Sleaford and North Hykeham,Con,lab,31.2%,5.2%,32.7%,6.1%,2.1%,0.0%,22.6%,0.0%,66.5%,18.6%,8.2%,2.4%,0.0%,0.0%,0.0%,4.3%
E14001477,Slough,Lab,lab,17.8%,10.1%,51.4%,9.0%,2.2%,0.0%,9.6%,0.0%,29.5%,58.8%,6.8%,2.1%,0.0%,0.0%,2.8%,0.0%
E14001478,Smethwick,Lab,lab,13.3%,4.8%,60.3%,3.0%,4.6%,0.0%,14.0%,0.0%,30.2%,57.0%,4.5%,2.3%,0.0%,0.0%,6.0%,0.0%
E14001479,Solihull West and Shirley,Con,con,27.9%,6.3%,26.0%,15.3%,1.1%,0.0%,23.3%,0.0%,60.9%,19.5%,15.7%,4.0%,0.0%,0.0%,0.0%,0.0%
E14001480,South Basildon and East Thurrock,Con,lab,26.3%,3.0%,37.9%,3.1%,3.2%,0.0%,26.6%,0.0%,65.4%,23.6%,4.1%,0.2%,0.0%,0.0%,0.0%,6.7%
E14001481,South Cambridgeshire,Con,ld,25.1%,2.7%,19.7%,45.6%,0.8%,0.0%,6.1%,0.0%,43.5%,15.1%,41.0%,0.2%,0.0%,0.0%,0.1%,0.0%
E14001482,South Cotswolds,Con,ld,31.4%,5.0%,15.1%,35.0%,2.3%,0.0%,11.2%,0.0%,57.9%,10.7%,27.6%,3.8%,0.0%,0.0%,0.0%,0.0%
E14001483,South Derbyshire,Con,lab,23.5%,5.1%,39.1%,4.0%,0.8%,0.0%,27.5%,0.0%,62.1%,27.2%,7.3%,3.3%,0.0%,0.0%,0.0%,0.0%
E14001484,South Devon,Con,ld,25.4%,2.5%,16.3%,38.0%,1.1%,0.0%,16.6%,0.0%,53.6%,17.0%,28.2%,0.2%,0.0%,0.0%,0.0%,1.0%
E14001485,South Dorset,Con,lab,24.0%,6.1%,30.2%,10.6%,1.1%,0.0%,27.9%,0.0%,59.2%,24.8%,10.7%,4.4%,0.0%,0.0%,0.0%,0.9%
E14001486,South East Cornwall,Con,lab,28.3%,4.2%,37.3%,16.1%,0.9%,0.0%,13.1%,0.0%,59.0%,20.3%,16.3%,2.7%,0.0%,0.0%,0.0%,1.7%
E14001487,South Holland and The Deepings,Con,con,32.8%,4.7%,31.5%,4.6%,0.9%,0.0%,25.4%,0.0%,75.9%,13.2%,6.6%,3.3%,0.0%,0.0%,0.0%,1.0%
E14001488,South Leicestershire,Con,con,33.3%,5.0%,32.8%,12.5%,0.0%,0.0%,16.4%,0.0%,66.5%,19.9%,9.6%,4.0%,0.0%,0.0%,0.0%,0.0%
E14001489,South Norfolk,Con,lab,29.6%,4.9%,33.7%,16.6%,0.8%,0.0%,14.4%,0.0%,56.5%,23.4%,17.0%,3.2%,0.0%,0.0%,0.0%,0.0%
E14001490,South Northamptonshire,Con,lab,27.6%,5.8%,36.1%,11.7%,1.8%,0.0%,17.0%,0.0%,63.2%,20.8%,11.1%,3.8%,0.0%,0.0%,0.0%,1.1%
E14001491,South Ribble,Con,lab,24.2%,4.2%,44.9%,7.7%,0.0%,0.0%,19.0%,0.0%,53.5%,36.2%,7.7%,2.5%,0.0%,0.0%,0.0%,0.0%
E14001492,South Shields,Lab,lab,13.7%,7.5%,49.3%,3.8%,2.1%,0.0%,23.6%,0.0%,25.8%,44.1%,3.5%,3.1%,0.0%,0.0%,14.7%,8.7%
E14001493,South Shropshire,Con,con,30.0%,5.3%,29.5%,12.3%,0.0%,0.0%,22.9%,0.0%,65.4%,15.8%,15.4%,3.5%,0.0%,0.0%,0.0%,0.0%
E14001494,South Suffolk,Con,ref,28.5%,5.8%,24.7%,11.5%,0.0%,0.0%,29.5%,0.0%,62.1%,19.2%,12.7%,6.0%,0.0%,0.0%,0.0%,0.0%
E14001495,South West Devon,Con,lab,23.7%,5.3%,32.1%,8.4%,0.8%,0.0%,29.7%,0.0%,62.6%,21.4%,12.1%,3.9%,0.0%,0.0%,0.0%,0.0%
